"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","259","Create file with empty filename","LMS service","Sun Sep 14 13:58:23 UTC 2025","passed","Sun Sep 14 13:58:23 UTC 2025","Validate entity","Files","",""
"","14","Get file","LMS service","Sun Sep 14 13:58:23 UTC 2025","passed","Sun Sep 14 13:58:23 UTC 2025","Get entity","Files","",""
"","27","Get courses","LMS service","Sun Sep 14 13:58:17 UTC 2025","passed","Sun Sep 14 13:58:17 UTC 2025","Get entities","Courses","",""
"","290","Create user","LMS service","Sun Sep 14 13:58:24 UTC 2025","passed","Sun Sep 14 13:58:24 UTC 2025","Create entity","Users","",""
"","541","Create user","LMS service","Sun Sep 14 13:58:24 UTC 2025","passed","Sun Sep 14 13:58:25 UTC 2025","Create entity","Users","",""
"","23","Update exercise","LMS service","Sun Sep 14 13:58:19 UTC 2025","passed","Sun Sep 14 13:58:19 UTC 2025","Update entity","Exercises","",""
"","19","Create exercise","LMS service","Sun Sep 14 13:58:19 UTC 2025","passed","Sun Sep 14 13:58:19 UTC 2025","Create entity","Exercises","",""
"","30","Update course","LMS service","Sun Sep 14 13:58:18 UTC 2025","passed","Sun Sep 14 13:58:18 UTC 2025","Update entity","Courses","",""
"","12","Get user me","LMS service","Sun Sep 14 13:58:25 UTC 2025","passed","Sun Sep 14 13:58:25 UTC 2025","Get entity","Users","",""
"","19","Delete exercise","LMS service","Sun Sep 14 13:58:21 UTC 2025","passed","Sun Sep 14 13:58:21 UTC 2025","Delete entity","Exercises","",""
"","13","Get file with incorrect file id","LMS service","Sun Sep 14 13:58:24 UTC 2025","passed","Sun Sep 14 13:58:24 UTC 2025","Validate entity","Files","",""
"","25","Get exercise","LMS service","Sun Sep 14 13:58:21 UTC 2025","passed","Sun Sep 14 13:58:21 UTC 2025","Get entity","Exercises","",""
"","19","Get exercises","LMS service","Sun Sep 14 13:58:22 UTC 2025","passed","Sun Sep 14 13:58:22 UTC 2025","Get entities","Exercises","",""
"","23","Create file","LMS service","Sun Sep 14 13:58:22 UTC 2025","passed","Sun Sep 14 13:58:22 UTC 2025","Create entity","Files","",""
"","260","Create file with empty directory","LMS service","Sun Sep 14 13:58:24 UTC 2025","passed","Sun Sep 14 13:58:24 UTC 2025","Validate entity","Files","",""
"","517","Create user","LMS service","Sun Sep 14 13:58:24 UTC 2025","passed","Sun Sep 14 13:58:25 UTC 2025","Create entity","Users","",""
"","27","Create course","LMS service","Sun Sep 14 13:58:18 UTC 2025","passed","Sun Sep 14 13:58:18 UTC 2025","Create entity","Courses","",""
"","552","Login with correct email and password","LMS service","Sun Sep 14 13:58:16 UTC 2025","passed","Sun Sep 14 13:58:17 UTC 2025","Login","Authentication","",""
