"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26","Update exercise","LMS service","Sun Sep 14 14:03:25 UTC 2025","passed","Sun Sep 14 14:03:25 UTC 2025","Update entity","Exercises","",""
"","25","Create exercise","LMS service","Sun Sep 14 14:03:25 UTC 2025","passed","Sun Sep 14 14:03:25 UTC 2025","Create entity","Exercises","",""
"","547","Login with correct email and password","LMS service","Sun Sep 14 14:03:22 UTC 2025","passed","Sun Sep 14 14:03:23 UTC 2025","Login","Authentication","",""
"","29","Get courses","LMS service","Sun Sep 14 14:03:23 UTC 2025","passed","Sun Sep 14 14:03:23 UTC 2025","Get entities","Courses","",""
"","15","Get file with incorrect file id","LMS service","Sun Sep 14 14:03:30 UTC 2025","passed","Sun Sep 14 14:03:30 UTC 2025","Validate entity","Files","",""
"","31","Create course","LMS service","Sun Sep 14 14:03:24 UTC 2025","passed","Sun Sep 14 14:03:24 UTC 2025","Create entity","Courses","",""
"","14","Get file","LMS service","Sun Sep 14 14:03:29 UTC 2025","passed","Sun Sep 14 14:03:29 UTC 2025","Get entity","Files","",""
"","254","Create file with empty directory","LMS service","Sun Sep 14 14:03:30 UTC 2025","passed","Sun Sep 14 14:03:30 UTC 2025","Validate entity","Files","",""
"","19","Delete exercise","LMS service","Sun Sep 14 14:03:26 UTC 2025","passed","Sun Sep 14 14:03:26 UTC 2025","Delete entity","Exercises","",""
"","25","Create file","LMS service","Sun Sep 14 14:03:27 UTC 2025","passed","Sun Sep 14 14:03:27 UTC 2025","Create entity","Files","",""
"","24","Create file with empty filename","LMS service","Sun Sep 14 14:03:29 UTC 2025","passed","Sun Sep 14 14:03:29 UTC 2025","Validate entity","Files","",""
"","294","Create user","LMS service","Sun Sep 14 14:03:30 UTC 2025","passed","Sun Sep 14 14:03:30 UTC 2025","Create entity","Users","",""
"","25","Get exercises","LMS service","Sun Sep 14 14:03:27 UTC 2025","passed","Sun Sep 14 14:03:27 UTC 2025","Get entities","Exercises","",""
"","519","Create user","LMS service","Sun Sep 14 14:03:30 UTC 2025","passed","Sun Sep 14 14:03:31 UTC 2025","Create entity","Users","",""
"","543","Create user","LMS service","Sun Sep 14 14:03:30 UTC 2025","passed","Sun Sep 14 14:03:30 UTC 2025","Create entity","Users","",""
"","24","Get exercise","LMS service","Sun Sep 14 14:03:26 UTC 2025","passed","Sun Sep 14 14:03:26 UTC 2025","Get entity","Exercises","",""
"","13","Get user me","LMS service","Sun Sep 14 14:03:31 UTC 2025","passed","Sun Sep 14 14:03:31 UTC 2025","Get entity","Users","",""
"","32","Update course","LMS service","Sun Sep 14 14:03:24 UTC 2025","passed","Sun Sep 14 14:03:24 UTC 2025","Update entity","Courses","",""
