"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","286","Login with correct email and password","LMS service","Sun Sep 14 15:33:03 UTC 2025","passed","Sun Sep 14 15:33:03 UTC 2025","Login","Authentication","",""
"","285","Get file","LMS service","Sun Sep 14 15:33:09 UTC 2025","passed","Sun Sep 14 15:33:09 UTC 2025","Get entity","Files","",""
"","21","Create exercise","LMS service","Sun Sep 14 15:33:06 UTC 2025","passed","Sun Sep 14 15:33:06 UTC 2025","Create entity","Exercises","",""
"","34","Update course","LMS service","Sun Sep 14 15:33:05 UTC 2025","passed","Sun Sep 14 15:33:06 UTC 2025","Update entity","Courses","",""
"","28","Delete exercise","LMS service","Sun Sep 14 15:33:08 UTC 2025","passed","Sun Sep 14 15:33:08 UTC 2025","Delete entity","Exercises","",""
"","305","Get courses","LMS service","Sun Sep 14 15:33:04 UTC 2025","passed","Sun Sep 14 15:33:04 UTC 2025","Get entities","Courses","",""
"","22","Get exercise","LMS service","Sun Sep 14 15:33:07 UTC 2025","passed","Sun Sep 14 15:33:07 UTC 2025","Get entity","Exercises","",""
"","268","Create file with empty filename","LMS service","Sun Sep 14 15:33:10 UTC 2025","passed","Sun Sep 14 15:33:11 UTC 2025","Validate entity","Files","",""
"","557","Create user","LMS service","Sun Sep 14 15:33:12 UTC 2025","passed","Sun Sep 14 15:33:12 UTC 2025","Create entity","Users","",""
"","29","Create course","LMS service","Sun Sep 14 15:33:04 UTC 2025","passed","Sun Sep 14 15:33:04 UTC 2025","Create entity","Courses","",""
"","19","Get exercises","LMS service","Sun Sep 14 15:33:08 UTC 2025","passed","Sun Sep 14 15:33:08 UTC 2025","Get entities","Exercises","",""
"","552","Create user","LMS service","Sun Sep 14 15:33:11 UTC 2025","passed","Sun Sep 14 15:33:12 UTC 2025","Create entity","Users","",""
"","261","Create file","LMS service","Sun Sep 14 15:33:09 UTC 2025","passed","Sun Sep 14 15:33:09 UTC 2025","Create entity","Files","",""
"","20","Delete file","LMS service","Sun Sep 14 15:33:10 UTC 2025","passed","Sun Sep 14 15:33:10 UTC 2025","Delete entity","Files","",""
"","12","Get user me","LMS service","Sun Sep 14 15:33:13 UTC 2025","passed","Sun Sep 14 15:33:13 UTC 2025","Get entity","Users","",""
"","557","Create user","LMS service","Sun Sep 14 15:33:12 UTC 2025","passed","Sun Sep 14 15:33:12 UTC 2025","Create entity","Users","",""
"","22","Update exercise","LMS service","Sun Sep 14 15:33:07 UTC 2025","passed","Sun Sep 14 15:33:07 UTC 2025","Update entity","Exercises","",""
"","274","Create file with empty directory","LMS service","Sun Sep 14 15:33:11 UTC 2025","passed","Sun Sep 14 15:33:11 UTC 2025","Validate entity","Files","",""
"","262","Get file with incorrect file id","LMS service","Sun Sep 14 15:33:11 UTC 2025","passed","Sun Sep 14 15:33:12 UTC 2025","Validate entity","Files","",""
